,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
90,Wonderful Tonight,Eric Clapton,6zC0mpGYwbNTpk9SKwh08f,1988,91,214,116,156,180,150,124,153,191,146,251,239,274,349,321,325,361,392,383,455,0.649,0.572,225027,0.214,0.129,-15.625,0.0293,0.485
91,Woman In Love,Barbra Streisand,1pTGc8pwyo6xtgXBKCBcFn,1980,92,157,176,196,193,219,173,229,156,176,246,242,453,755,661,536,672,630,542,842,0.248,0.469,231840,0.278,0.000126,-16.311,0.028,0.331
92,Mama,Genesis,4q6bSpQPptaC9uIqmu5GEw,1983,93,107,93,102,113,143,148,177,232,150,163,188,211,227,231,215,233,225,175,342,0.294,0.561,412253,0.774,0.513,-10.564,0.0432,0.648
93,Blowin' In The Wind,Bob Dylan,18GiV1BaXzPVYpp9rmOg0E,1963,94,147,179,195,211,194,205,188,168,173,210,199,262,317,331,488,412,417,549,605,0.914,0.38,165427,0.0993,2.32e-05,-20.567,0.0509,0.44
94,Dust In The Wind,Kansas,6zeE5tKyr8Nu882DQhhSQI,1978,95,183,338,161,127,227,210,221,254,197,311,375,330,250,219,224,213,235,214,263,0.367,0.475,206267,0.322,0.00056,-10.687,0.0283,0.387
95,Eternal Flame,Bangles,5MoDQWMDMaAGDEiWsJfeCi,1989,96,138,104,199,244,205,334,440,383,295,431,427,546,835,814,666,774,662,775,1120,0.525,0.526,238027,0.358,0.0,-7.239,0.0243,0.4
96,Strawberry Fields Forever,Beatles,3Am0IbOxmvlSXro7N5iSfZ,1967,97,131,180,214,207,259,261,187,183,189,204,247,271,308,301,395,322,387,505,587,0.336,0.39,247320,0.502,0.000138,-12.277,0.178,0.289
97,Against All Odds (Take A Look At Me Now),Phil Collins,63CHa6rmamv9OsehkRD8oz,1984,98,152,132,153,159,170,238,230,395,215,274,308,394,240,307,370,393,352,282,320,0.198,0.58,206360,0.498,0.0,-6.901,0.0277,0.111
98,Every Breath You Take,Police,1JSTJqkT5qHq8MDJnJbRE1,1983,99,166,167,184,259,284,434,403,412,340,381,351,345,356,210,330,386,318,290,286,0.543,0.82,253920,0.452,0.00294,-9.796,0.0348,0.74
99,Eloise,Barry Ryan,6z9XVXX8AXxVunhocuLTMe,1968,100,97,83,117,108,141,127,145,70,110,258,261,365,410,553,566,707,805,851,1134,0.22,0.425,345173,0.591,0.0,-11.996,0.0321,0.461
100,Waterloo,ABBA,3Dy4REq8O09IlgiwuHQ3sk,1974,101,182,467,607,605,512,299,546,419,452,701,728,918,783,836,890,772,742,660,413,0.395,0.445,168960,0.949,8.18e-06,-4.682,0.0471,0.653
101,Verdronken Vlinder,Boudewijn De Groot,6WVSZMmvptfhEJLeq1xYDv,1966,102,95,95,72,47,65,51,62,63,55,105,109,153,238,232,251,298,300,360,398,0.516,0.348,147000,0.481,0.00832,-12.218,0.0396,0.781
102,Jeanny,Falco,6a0lr0jt8lKDJhsAYA49NS,1985,103,58,67,70,94,101,143,141,207,133,188,182,169,165,193,132,153,107,102,131,0.451,0.648,355989,0.66,0.0,-10.455,0.0454,0.452
103,If You Leave Me Now,Chicago,0KMGxYKeUzK9wc5DZCt3HT,1976,104,103,103,119,218,165,214,250,222,194,288,252,383,634,677,627,716,550,597,806,0.0193,0.429,235373,0.564,0.000828,-6.784,0.0268,0.276
104,32 Jaar (Sinds 1 Dag Of 2),Doe Maar,3IbkWFHKCQp1Y7oLjeQgGv,1981,105,203,367,366,338,363,424,449,450,395,509,566,439,172,531,678,584,605,626,461,0.283,0.884,200891,0.599,0.00396,-10.892,0.0449,0.963
105,"Non, Je Ne Regrette Rien",Edith Piaf,3dkIE8P7hvl3tHl9KSb6dA,1961,106,234,403,507,312,313,309,236,158,224,277,328,263,413,363,427,460,622,582,577,0.858,0.382,142280,0.354,3.11e-06,-6.595,0.0289,0.435
106,All Along The Watchtower,Jimi Hendrix Experience,2aoo2jlRnM3A0NyLQqMN2f,1968,107,130,242,146,146,136,162,158,147,142,120,138,131,123,97,156,160,179,179,137,0.00255,0.438,240800,0.805,5.69e-05,-6.237,0.0624,0.564
107,Stayin' Alive,Bee Gees,3mRM4NM8iO7UBqrSigCQFH,1978,108,153,101,255,284,277,409,434,503,357,489,407,455,633,533,579,525,399,388,481,0.0322,0.703,285373,0.826,0.00629,-7.179,0.0341,0.945
108,Con Te Partiro,Andrea Bocelli,7zrpoAJte9o12TzawqgdD0,1996,109,0,155,251,364,248,326,373,135,228,755,493,556,735,706,898,697,724,779,912,0.844,0.241,250984,0.367,0.00279,-7.95,0.0311,0.302
109,Hello,Lionel Richie,6HMvJcdw6qLsyV1b5x29sa,1984,110,267,351,430,480,305,550,489,694,483,666,665,682,753,905,894,912,1044,1023,1191,0.646,0.424,246933,0.222,0.0,-15.053,0.0391,0.0606
