,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018
1137,You've Made Me So Very Happy,Blood Sweat & Tears,76OUhpuAQSQ2orR5TUeeRc,1969,1138,0,1143,1674,1703,1532,1658,1609,1584,1603,0,1893,0,0,0,0,0,0,0,0
1138,Reflections Of My Life,The Marmalade,2DASj6MN2XNsc2bttRBRbq,1970,1139,1464,1197,1299,1595,1403,1706,1578,1974,1620,0,0,0,0,0,0,0,0,0,0
1139,Something's Gotta Hold Of My Heart,Gene Pitney,68O1r5xQADu0JjvBibg9zN,1968,1140,0,1262,1357,1518,1627,1788,1454,1690,1587,1681,1607,1527,0,0,0,0,0,0,0
1140,Monica,Circus Custers,6THAXNLk4g2gXWljjFkzkn,1987,1141,0,1398,1509,1500,1573,1648,1818,1740,1663,1887,0,0,0,0,0,0,0,0,0
1141,Sail Along Silvery Moon,Billy Vaughn,0QjGB3RrrOG8OTAoNTWOda,1958,1142,1046,1452,1805,1707,1902,1941,0,1967,1962,0,0,0,0,0,0,0,0,0,0
1142,Smooth Operator,Sade,1Hv1VTm8zeOeybub15mA2R,1984,1143,1043,1008,1093,947,1155,1269,1261,1678,1270,950,863,888,935,1031,715,811,837,753,993
1143,This Melody,Julien Clerc,7kd31hbc1pxQuzuVgM1cBt,1976,1144,0,1498,1158,1321,1245,723,755,1171,951,1314,1520,1372,1752,1639,1804,0,1891,0,0
1144,"Yes Sir, I Can Boogie",Baccara,2LScqpywMqGcnum6nNaxXX,1977,1145,743,1235,1413,1572,1417,1881,0,1795,1861,0,0,0,0,0,0,0,0,0,0
1145,Wonderful Land,Shadows,7yrAJDi3c35byX8HdtBSJM,1962,1146,1236,1490,1285,1194,1207,1337,1465,1531,1371,1304,1639,1990,1892,0,0,0,0,0,0
1146,Never Let Her Slip Away,Andrew Gold,4jV4ld7z4BrswF3uKqz8Ny,1978,1147,1114,743,730,1430,1471,1292,1571,1533,1395,0,1966,0,0,0,0,0,0,0,0
1147,Beep Beep Love,Gruppo Sportivo,31W6LGVV6sSQQZQIXJVIbV,1977,1148,0,1287,1377,0,0,1861,1734,0,0,1724,1865,0,1968,0,0,0,0,0,0
1148,Hot Shot,Karen Young,7d8DvrdW2u2QIpx5NpM6es,1978,1149,1380,0,1838,1724,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1149,Easy,Commodores,1JQ6Xm1JrvHfvAqhl5pwaA,1978,1150,0,996,1574,1324,1284,1667,1543,1782,1549,1742,1497,1608,1431,1857,0,0,0,0,0
1150,Een Wonderkind Van 50,Boudewijn de Groot,4mWDZIFBof5apv6YlgHOGM,1996,1151,708,864,779,599,692,495,672,859,658,1389,1569,1655,1624,1791,0,0,0,0,0
1151,It's Five O' Clock,Aphrodite's Child,0UpIJGJS0zQcfvyRaltZ5E,1970,1152,0,873,978,608,1076,1157,1214,972,1004,1561,1474,1879,0,0,0,0,0,0,0
1152,Busje Komt Zo,Höllenboer,3SKgNewC7uCgYsYzaAOfMm,1995,1153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,If I Had Words,Scott Fitzgerald & Yvonne Keeley,7qw4wVS3qCP5U4RPIxTKHL,1977,1154,1266,1639,1844,1548,1984,1865,0,0,0,0,0,0,0,0,0,0,0,0,0
1154,Il Silenzio,Nini Rosso,3IaXbJBLu2MgwJMu1KvUvQ,1965,1155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155,Chanson D'amour,Manhattan Transfer,477ZS8JpUEMuitVoJJmtcI,1976,1156,0,1933,1242,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1156,Demasiado Corazon,Mink DeVille,62df56oXNdwFGzmJ4pE1pI,1984,1157,0,1615,1138,1433,1753,1053,1061,1488,1303,1020,1104,1253,1315,1497,1564,1900,0,0,0
1157,Disco Inferno,Trammps,3GXo1eWlT2flv4x01l5OTu,1977,1158,1096,944,816,1310,1109,1452,802,1122,1023,904,867,1073,862,710,892,1029,1032,1114,1228
1158,How Can I Be Sure,David Cassidy,3cmb7mFWij3I2hKfGSRE3z,1972,1159,0,0,1680,1837,1653,1567,1525,1839,1677,1947,0,0,0,0,0,0,0,0,0
1159,'n Vriend,André Hazes,4GI5auUteXKSj0CmumKPVF,1980,1160,0,1062,0,1106,879,1150,1661,1125,1249,0,1903,1935,848,1637,1850,0,1948,1804,1443
1160,Feels Like Heaven,Fiction Factory,41Laec0pItedzpw2D8HWYp,1984,1161,1255,1268,1725,1609,1866,1892,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,Heel Even,Shirley Zwerus,74aMMfx61S4UO44EUDKQMU,1981,1162,0,0,1895,1727,1942,1875,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,Does Your Mother Know,ABBA,2HPB3px8MJZRMfu1L65Z41,1979,1163,882,1027,1051,1020,1069,825,1193,850,961,1128,981,1141,1089,1410,1262,1168,759,737,602
1163,Ik Zou Wel Eens Willen Weten...,Jules De Corte,4B9GZyL1eX8rrU9v7hTm5U,1955,1164,1558,1844,1898,1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1164,Caravan Of Love,The Housemartins,58RdxKqvxh631GXrvTxJ2z,1987,1165,1088,1624,1325,1416,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,I Don't Want To Talk About It,Rod Stewart,2JWKzkQbYsNzx019WyGzaH,1977,1166,0,1427,1712,1715,1561,1655,1557,1973,1668,1575,1528,1753,1809,1773,1642,1634,1935,1864,0
1166,Love Shine A Light,Katrina & The Waves,0WdBh2BQOq9U7PMk6sWzMz,1997,1167,0,1700,1920,1662,1971,0,1959,0,0,0,0,0,0,0,0,0,0,0,0
1167,Pick Up The Pieces,Average White Band,2H5nsVLjDwWsxfyajm0lVS,1975,1168,0,1388,1458,1726,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1168,Secret Garden,Bruce Springsteen,68uuz61IqrSJjO6ffO3yHc,1995,1169,0,828,979,981,1170,1244,1309,1164,1182,1781,1713,1643,1676,1233,1625,1411,1637,1921,1973
1169,Soul Man,Sam & Dave,4eGHlplaq1ME8oetnTuFFf,1967,1170,1743,1763,0,1517,1723,1686,0,0,0,1567,1494,1423,1422,1742,1535,1980,1577,1996,0
1170,Kon Ik Maar Even Bij Je Zijn,Gordon,0vWOq4z0mDYs0GSs7imUEd,1991,1171,0,0,1942,1484,1644,1837,1523,0,1873,0,0,0,0,0,0,0,0,0,0
1171,Lovin' Whiskey,Rory Block,5537Y4aYjibeVdTSX3w7y2,1988,1172,0,1818,1447,1831,1818,1700,1491,1930,1689,1956,1910,1723,1873,0,0,0,0,0,0
1172,Nightshift,Commodores,23IK8TF2MSiLnuEjaYPfVV,1985,1173,919,688,1124,1144,1053,1492,1652,1464,1351,1712,1654,1689,0,0,0,0,0,0,0
1173,Oye Como Va,Santana,1ptw5QUnozstTRsgeXk4zS,1971,1174,1283,1247,1416,1644,1413,1437,1569,1691,1536,1306,1280,1510,1605,1709,1632,1917,1496,1809,0
1174,Sailing Home,Piet Veerman,5ti5SeraA9Ci7OtbLhEkz2,1987,1175,1468,1847,0,1163,661,1061,1196,1288,1132,0,1853,0,1846,1907,1849,0,0,0,0
1175,Verdammt Ich Lieb' Dich,Matthias Reim,2XEwnFyQhDBHq6rFEaAOQj,1990,1176,1477,1278,1156,888,1320,1330,1143,1720,1279,1301,1271,1383,1222,1282,1359,1282,1483,1425,1279
1176,You're My Heart You're My Soul,Modern Talking,0Zn63G0XTiqXwr1KSmARWz,1985,1177,1478,1576,1790,1692,1860,0,1851,0,0,0,0,0,0,0,0,0,0,0,0
1177,Reason To Believe,Rod Stewart,3rGuoVKM5CwEo7eHyeXYIB,1971,1178,1186,1211,905,1089,1430,1253,1343,1378,1291,1381,1445,1706,1897,1938,1971,1994,0,0,0
1178,Silence Is Golden,The Tremeloes,0tY6WuVkmCth6YHl8xKrew,1967,1179,1577,1640,1580,1567,1743,1619,1469,1415,1521,0,0,0,0,0,0,0,0,0,0
1179,Summer Is Over,Dusty Springfield,6eqbY8CBnUKx7syoooRZvf,1965,1180,836,1084,908,789,1185,1027,1051,1077,1019,1125,999,1282,1660,1602,1785,1934,0,0,0
1180,That Day,Golden Earring,16e3pGjtm03cOSCYvZXGXm,1966,1181,1193,1697,1504,1758,1886,1744,1754,0,1912,0,0,0,0,0,0,0,0,0,0
1181,True Love,Grace Kelly & Bing Crosby,4VGg69stgahzAnYwXB98xT,1957,1182,0,1890,1842,1660,1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1182,Veerpont,Drs. P,6hcnTq2bYMuCnKZReRVd4q,1973,1183,0,1392,1570,0,1599,0,1689,1670,1849,0,0,0,0,0,0,0,0,0,0
1183,Wheels,Billy Vaughn,4AFiPm2lpASzrpHAFFyzhC,1961,1184,1234,1736,1569,1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1184,Always On My Mind,Willie Nelson,2xYQTU2bbg6WVAmpY1eae4,1984,1185,0,1430,1835,1388,1482,1421,1098,1146,1260,1386,936,993,723,949,1185,1285,1314,1358,1521
1185,You're A Lady,Peter Skellern,2a3CwgQzBGsDfSY09YWh2P,1972,1186,0,1622,1681,1743,1973,1701,1864,0,1940,0,0,0,0,0,0,0,0,0,0
1186,Oh! Carol,Neil Sedaka,5zvOXJrzzUlvXwyuwZ0toZ,1960,1187,1732,1994,1894,1065,0,0,1886,1988,1924,0,0,0,0,0,0,0,0,0,0
1187,Unforgettable,Nat 'King' Cole,48D177fBErMz5p4zeAW1N5,1951,1188,1404,1555,1490,1068,1469,1814,1435,1572,1468,1612,1800,1483,1970,0,0,0,0,0,0
1188,Mother,John Lennon,43Ud1IajwtBvw6ONj6aK2Q,1971,1189,1513,1328,1675,1584,1540,1657,1704,0,1851,0,1914,0,0,0,0,0,0,0,0
1189,Keep On Running,The Spencer Davis Group,4gIBVzdQutBd809V7cxyhg,1966,1190,1177,1545,1539,1748,1509,1760,1933,1993,1738,0,0,0,0,0,0,0,0,0,0
1190,"Ob La Di, Ob La Da",Beatles,1gFNm7cXfG1vSMcxPpSxec,1969,1191,0,1288,1514,1541,1510,1327,1649,1713,1574,1544,1513,1617,1537,1622,0,0,0,0,0
1191,I Shot The Sheriff,Eric Clapton,0UOxp1BpnD8uPQMKU4wKjz,1974,1192,1327,1664,1496,1869,1434,1899,1819,1676,1679,0,1836,1864,0,1898,0,0,0,0,0
1192,Eight Days A Week,Beatles,1Dg4dFJr3HW7sbA7vPejre,1965,1193,854,1341,1168,1256,1260,1234,1142,920,1098,1180,1320,1166,1231,1553,0,1877,1768,1895,1913
1193,Fly Too High,Janis Ian,5dkrQCGm5MszVzSrc7oWPw,1979,1194,0,1568,1406,1745,1632,1907,1582,0,1875,0,0,0,0,0,0,0,0,0,0
1194,Friday On My Mind,The Easybeats,2CT08rpgdut8qQs7IAzMGi,1966,1195,1433,1139,1060,968,1058,1438,1312,1560,1280,1403,1479,1889,1982,1775,0,0,0,0,0
1195,Marrakesh Express,"Crosby, Stills & Nash",6lPbvFOOpN4pltOqJp7ddN,1969,1196,1337,1275,1421,1814,1372,1371,1865,1731,1619,1637,1511,1803,0,0,0,0,0,0,0
1196,Russian Spy & I,Hunters,3MOfLWOKOnCAry6XUGavgR,1966,1197,1189,1473,1355,1552,1656,1944,1914,0,1908,0,0,0,0,0,0,0,0,0,0
1197,Baby Makes Her Blue Jeans Talk,Dr. Hook,3QbWkohmDaumFZFo45PDIf,1982,1198,0,1136,1582,1464,1462,1490,1614,1791,1595,1934,1859,0,0,0,0,0,0,0,0
1198,Best Of Both Worlds,Robert Palmer,5A5yHwpaMfXp3BhSERxtHD,1978,1199,0,1483,1148,1081,1118,1463,1353,1771,1394,1401,1543,1657,1799,1708,1882,0,0,0,0
1199,Big City,Tol Hansse,6VYh1IpW7OomkHYfTti12z,1978,1200,1588,1429,1985,1649,1893,1883,1786,0,1931,0,0,0,0,0,0,0,0,0,0
1200,Had To Fall In Love,Moody Blues,3T7gFooBRI9cyFPFc7lFNx,1978,1201,1025,712,680,894,1104,1194,1091,1196,1063,1316,1291,1438,994,992,1123,1629,0,0,0
1201,Hey St. Peter,Flash & The Pan,0LjtuCIQ9VNBnNgH1Wpe7S,1977,1202,828,1117,1140,852,1270,1332,1320,1612,1284,1548,1677,0,0,1838,1902,0,0,0,0
1202,Margootje,Wim Sonneveld,0ql9xM2lL271jnQBQfjTit,1965,1203,1619,1580,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,Manic Monday,Bangles,7Di7t9yGoxdZRLAt5a4pi0,1986,1204,0,1680,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204,I'm Sorry,Brenda Lee,4LJcNiq2pBb8OeqrGdBJQw,1960,1205,0,1469,1702,1210,1677,1782,1642,1469,1563,0,0,0,0,0,0,0,0,0,0
1205,Islands In The Stream,Dolly Parton & Kenny Rogers,6apPqjW8ezpKEicAkkBlvO,1983,1206,1176,1119,853,1288,1294,990,1147,1020,1103,1547,1277,1269,1343,1360,1039,1083,1060,939,812
1206,It's My Life,Animals,2IXGIhLcTl5WsCcFYuq3Tt,1965,1207,1139,1188,1554,1699,1359,1521,1739,1667,1591,0,0,0,0,0,0,0,0,0,0
1207,Love Of The Common People,Paul Young,6cARFkZxx2JR3JlvDzeLZc,1984,1208,787,829,1081,1091,1122,1469,1737,731,1107,1886,1780,0,1975,1721,1666,1901,1832,1760,1992
1208,Junge Komm Bald Wieder,Freddy Quinn,4agMrs0Xv2x24I6jme8x8d,1963,1209,1614,0,0,0,1610,1705,1422,1414,1686,0,0,0,0,0,0,0,0,0,0
1209,"Never, Never Gonna Give You Up",Barry White,3pepZAOvUCBt3qWi9Ax6Aq,1974,1210,0,1396,0,1802,1578,1632,1828,1688,1724,0,0,0,0,0,0,0,0,0,0
1210,Paperback Writer,Beatles,0Ui8KPWZbJJQ2Y0CIQuVqX,1966,1211,1517,1790,1671,1684,1383,1450,1529,1664,1548,1431,1655,1722,1771,1686,1962,1811,0,0,0
1211,Fooled Around And Fell In Love,Elvin Bishop,6BJTagJUFeUxHpVWxTmatw,1976,1212,1208,1011,1419,1626,1990,1735,1907,0,1918,0,0,0,0,0,0,0,0,0,0
1212,I Just Don't Know What To Do With Myself,Dusty Springfield,5LeJxZT0Ifj4zQgBnTMWeE,1964,1213,1137,1384,1781,1806,1863,1599,1492,1040,1414,1371,1289,1734,0,0,0,0,0,0,0
1213,Let's Dance,Cats,10lp8wOTOXXwYBwYNIQjyc,1972,1214,0,1344,1863,1513,1708,1605,1534,1888,1646,1857,1796,0,0,0,0,0,0,0,0
1214,James,Billy Joel,4gej2mdVcBdUfdxcvhE8rO,1976,1215,0,1312,1228,0,1783,1666,1998,1887,1811,1941,0,0,0,0,0,0,0,0,0
1215,Daddy Cool,Boney M,3WMbD1OyfKuwWDWMNbPQ4g,1976,1216,1369,1270,1907,0,1541,1510,1999,1665,1769,0,1783,1422,1403,1906,0,0,0,0,0
1216,Matrimony,Gilbert O'Sullivan,4Um8CTbXXzV31UKiJRjIu3,1972,1217,1278,493,1174,1537,1395,1433,1501,1807,1473,1902,1993,1890,0,0,0,0,0,0,0
1217,Stop In The Name Of Love,The Supremes,52FlwUMMDnTK8TGkCag9Jd,1965,1218,1799,0,1701,0,0,1895,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,Wake Up Little Susie,The Everly Brothers,11fNLqDB47gMKj7BHhR2Qr,1958,1219,1582,0,1868,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219,"When The Going Gets Tough, The Tough Get Going",Billy Ocean,5UU5FbITNm5OunvHQdsKME,1986,1220,1154,1599,1837,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,Soldiers Who Want To Be Heroes,Rod Mckuen,4Q7s6xVjvzgWo9H59lQ9B8,1971,1221,1524,1652,1603,1522,1306,1352,1184,1630,1380,1921,1928,0,0,0,0,0,0,0,0
1221,Stand By Your Man,Tammy Wynette,6xatfNMI8NkY5XxRHAeiS4,1975,1222,1525,1648,1816,0,0,1696,1841,1873,1919,0,0,0,0,0,0,0,0,0,0
1222,That's The Way I Like It,KC & The Sunshine Band,3PR79C1jVvLLLmgdyHkXl3,1975,1223,1400,1360,2000,1940,1618,1911,1955,0,1943,0,2000,0,0,0,0,0,0,0,0
1223,The Sweetest Taboo,Sade,0sKfhhj6hYyJIXnTiZV9vf,1985,1224,0,1572,0,0,1764,0,0,0,0,0,1879,1970,0,0,1872,1974,1899,1800,0
1224,W.O.L.D.,Harry Chapin,5skfeuSxzJhyW7zx52J4k2,1974,1225,1231,1342,1308,1734,0,1683,0,0,0,0,0,0,0,0,0,0,0,0,0
1225,When I Will See You Again,Three Degrees,02srSkeu2pzybuVr2B9TJm,1974,1226,1124,1222,0,1347,1598,1771,1467,1438,1531,1759,1861,0,0,0,0,0,0,0,0
1226,When You Are A King,White Plains,5FhOqykfWc1cPpWYg0fMoP,1971,1227,1125,844,1354,1259,1448,1318,1560,1593,1430,0,0,0,0,0,0,0,0,0,0
1227,Zuiderzeeballade,Sylvain Poons & Oetze Verschoor ,5b99qhKHhBJo6aYZ92N8SW,1962,1228,0,0,1996,1134,0,1855,0,0,0,0,0,0,0,0,0,0,0,0,0
1228,Tie A Yellow Ribbon Round The Ole Oak Tree,Dawn & Tony Orlando,12UzVR0M7asW2MHAZRJk0I,1973,1229,1806,1372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229,Wooly Bully,Sam the Sham,2XkuSbp5say8nZW8g6156Z,1965,1230,1357,1862,1477,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,Shangrila,Kinks,7hnN6OQSquje86scA0I66f,1969,1231,962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1231,Shine Silently,Nils Lofgren,3J4QEssyDShqdnI5SiSdvt,1979,1232,0,1128,1048,1404,1458,1774,1655,0,1821,1978,1883,0,0,0,0,0,0,0,0
1232,Tu Te Reconnaitras,Anne Marie David,3682WlWtLmx44QNpB6Py4X,1973,1233,0,1359,1831,0,0,1730,0,0,0,0,0,0,0,0,0,0,0,0,0
1233,You Can't Hurry Love,The Supremes,1OppEieGNdItZbE14gLBEv,1966,1234,1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1234,Save The Last Dance For Me,The Drifters,391TUcoPonqYykPkSZ5Z9U,1961,1235,1073,1662,0,993,1146,1215,1275,1301,1256,0,0,0,0,0,0,0,0,0,0
1235,Sunny,Boney M,3pf96IFggfQuT6Gafqx2rt,1977,1236,1293,1156,1784,1848,1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,Seasons,Earth & Fire,1DLOfCb9sEiJMpYD8XsOBH,1970,1237,1006,1067,1085,559,1050,1128,1215,1541,1116,1350,1321,1568,1775,1962,1697,1939,0,1844,0
1237,While You See A Chance,Steve Winwood,4JAFyW6oZV6DIADeV619QG,1981,1238,1235,884,1123,1112,1213,1251,1392,1313,1248,1419,1352,1501,1327,1451,1570,1924,0,0,0
1238,I Feel Fine,Beatles,5hhF25sWnZvXhimOHLjTRE,1965,1239,917,1292,1682,1327,1700,1669,1622,1578,1568,1701,1931,1853,0,0,0,0,0,0,0
1239,"Ha Ha, Said The Clown",Manfred Mann,1MxTSrkGx5PvAX5aQKndmz,1967,1240,1666,1290,1491,1534,1880,1867,1791,0,1909,1844,0,0,0,0,0,0,0,0,0
1240,Ik Heb Genoeg Van Jou,ZZ en de Maskers,4cHu5FO3Par7M6rX05gL6a,1965,1241,0,1393,1546,1242,1231,1102,1432,1205,1276,0,0,0,0,0,0,0,0,0,0
1241,Last Dance,Donna Summer,29RcVe2M9l8rHyWHffBmjf,1978,1242,1677,1378,1592,1566,1799,0,1779,1822,1804,0,0,0,1790,1902,1979,0,0,0,0
1242,L'été Indien (Africa),Joe Dassin,7BNeFchpHDCWYSUV4hfU89,1975,1243,0,1684,1584,1866,1804,1455,1455,0,1840,0,0,0,0,0,0,0,0,0,0
1243,Listen To The Radio,Tom Robinson,4fMOxvR5XWfNXXoJYlstkD,1984,1244,0,1716,1630,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,Ein Bisschen Frieden,Nicole,7JZHsMxhcaRKug5kA0DmDE,1982,1245,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245,Forever Blue,Little River Band,0WKT8YOLZ5wYWj9qJhgbT4,1995,1246,984,854,890,1178,1238,1210,1379,1451,1274,1819,1601,1835,1973,1819,1864,0,0,0,0
1246,The French song,Lucille Starr,4HUKN6pphF8ES2G4qRSADr,1964,1247,1256,1759,1737,1691,1490,1245,1330,1613,1447,0,0,0,0,0,0,0,0,0,0
1247,Great Pretender,Platters,2FkCjtQ1lYsf71s2FAS8hE,1957,1248,1135,1814,1758,1417,1631,1813,1621,1979,1690,0,0,0,0,0,0,0,0,0,0
1248,La Mer,Charles Trenet,1ZK8WJqkD1XhEYI1AlkMHG,1952,1249,0,1400,1463,1386,1399,1342,1058,1404,1292,1498,1753,1772,1668,1888,1822,0,0,0,0
1249,Love And Pride,King,7s9MPp6IbrZa39gE0zpiVH,1985,1250,1681,1894,0,1950,1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1250,Death Of A Clown,Dave Davies,71tHuwbbAnhEnbJiDHy5b6,1967,1251,1249,1604,1572,1652,1543,1940,1752,1762,1683,0,0,0,0,0,0,0,0,0,0
1251,I Just Died In Your Arms Tonight,Cutting Crew,4ByEFOBuLXpCqvO1kw8Wdm,1986,1252,1213,1674,1688,1967,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1252,Donna,Ritchie Valens,0VE4ayVlGs5DBoqOdgJ0Zv,1958,1253,0,1843,1897,1563,0,1887,0,1903,0,0,0,0,0,0,0,0,0,0,0
1253,Here Comes The Night,Them,3OfttbJAJNvkI4VwtZD2E7,1965,1254,0,1435,1197,879,1230,1219,1190,1365,1201,1449,1696,1747,0,0,0,0,0,0,0
1254,Running In The Family,Level 42,1pTqpcvO02DUSzdN85loMZ,1987,1255,1526,963,1673,1860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1255,Streetlife,The Crusaders & Randy Crawford,0,1979,1256,0,1216,1469,1819,1693,1986,1776,1585,1693,0,0,0,0,0,0,0,0,0,0
1256,Mozart Symphony Nr 40,Waldo De Los Rios,0PO67Uj5YFRPY4GRotHNWf,1971,1257,1279,1578,1759,1826,0,0,1507,0,0,0,0,0,0,0,0,0,0,0,0
1257,New Frontier,Donald Fagen,2HyrLPJTZ4qDpWJ6qnu0Ke,1983,1258,0,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,Play That Funky Music,Wild Cherry,5uuJruktM9fMdN9Va0DUMl,1976,1259,1518,1433,1652,1575,1588,1802,1913,1814,1710,0,1916,1985,1944,1790,1840,1999,1904,1886,0
1259,Roll Over Beethoven,Electric Light Orchestra,3ne7JRxPLi6jCo63i5x16R,1973,1260,1074,705,807,1080,1252,1196,1298,1639,1268,1423,1460,1729,0,0,0,0,0,0,0
1260,Spanish Stroll,Mink Deville,6xMoOFdqr5PYifDZnnL3sx,1977,1261,932,832,1072,841,624,752,759,913,767,736,868,979,990,1088,1193,1426,1391,1505,1707
1261,Tell Me Your Plans,The Shirts,413FYUr6Cj8O7HjtsL9VOm,1978,1262,0,1046,1239,1451,1279,1732,1817,0,1833,1949,1681,1762,1691,1676,1969,0,0,0,0
1262,Without Your Love,Roger Daltrey,0,1981,1263,1052,1182,1536,1273,1508,1255,1359,1875,1452,1647,1771,1960,0,0,0,0,0,0,0
1263,The Girl Is Mine,Paul McCartney & Michael Jackson,1diEQsD8PJC9hXB5Gpfgtn,1982,1264,0,1692,1836,0,1874,0,0,0,0,1253,0,0,1153,0,0,0,0,0,0
1264,"Poupée De Cire, Poupée De Son",France Gall,1OJcI2EzUidsTVl532wkWN,1965,1265,1458,1334,1668,1658,1658,1082,1383,1732,1479,0,0,0,0,0,0,0,0,0,0
1265,Reelin' In The Years,Steely Dan,1I7zHEdDx8Ny5RxzYPqsU2,1973,1266,1286,1510,1319,1332,1480,1608,1538,1844,1565,1233,1317,1381,1555,1549,1656,1916,1915,1621,0
1266,The Alternative Way,Anita Meyer,4GWCAxobuHK6j9ASOTBQKV,1976,1267,1009,1149,889,1187,1096,1001,1220,949,1061,1693,1473,1849,0,0,0,0,0,0,0
1267,Raindrops Keep Falling On My Head,BJ Thomas,0zRtBDhwtIFTfoK2HuURbM,1970,1268,1462,1980,0,1880,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1268,What I Like About You,Romantics,6NdcSEhpGGAYXNnnhGS2s6,1980,1269,1356,1651,1541,1647,1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1269,Centerfold,J. Geils Band,1ynmMEK1fkyiZ6Z6F3ThEt,1982,1270,1422,1817,1597,1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1270,Hold On My Heart,Genesis,4zRl3lAyZOVcJgHwZTpH17,1992,1271,0,1033,1562,1611,1706,1891,1901,1588,1685,1669,1803,1906,1938,1737,1722,0,0,0,0
1271,Abracadabra,Steve Miller Band,2E2ZVy2fxslpAUgbb4zu84,1982,1272,1241,1773,1472,1505,1539,1904,1625,1834,1649,0,0,0,1703,0,0,0,0,0,0
1272,Addicted To Love,Robert Palmer,5izGeTxueiFX1UPFGohY9w,1986,1273,0,1092,0,1161,1277,1785,1676,1956,1645,1831,1835,1819,1603,0,0,0,0,0,0
1273,Kyrie,Mr. Mister,5BXj1QDRU77J1ngVavG1tI,1986,1274,1333,1571,1380,1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1274,Capital Punishment,Sandy Coast,4wwhLQvDbqjZ6LjunQ29p7,1969,1275,0,1544,1136,1550,1741,1643,1803,1980,1714,1711,1860,1928,0,0,0,0,0,0,0
1275,Down South,Rob Hoeke,4LzHuoMyE1t5rCn33BdWwc,1970,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1276,Everybody's Got To Learn Sometime,The Korgis,3aXuXjIXG5B2jtlsWKLd1l,1980,1277,1829,1766,1621,1754,1822,1905,0,0,0,0,0,0,0,0,0,0,0,0,0
1277,Gente Di Mare,Tozzi & Raf,79ncJXSGJWqLXUxRXgvfLC,1987,1278,0,1866,1818,1924,1927,0,1982,0,0,0,0,0,0,0,0,0,0,0,0
1278,House Of The King,Focus,3WtpkcUqUr35Mrnv0QZWie,1971,1279,1171,1307,1045,924,1439,1550,1773,0,1771,1699,1650,1692,0,0,0,0,0,0,0
1279,Hurt,Timi Yuro,6mqfq8EdYoV07TXM2rgPgb,1961,1280,0,1885,1662,1077,1474,1536,1626,1826,1579,0,0,0,0,0,0,0,0,0,0
1280,Le Meteque,Georges Moustaki,7onHzMTqpys70lmzWd4Nw4,1969,1281,0,1914,1896,0,1652,1718,1436,1916,1762,0,0,0,0,0,0,0,0,0,0
1281,Circle In The Sand,Belinda Carlisle,55bMDM39fTaNGB08XaAZAT,1988,1282,0,1470,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1282,The Joker,Steve Miller Band,1bp2IO61zbQrbWNmKKxg3f,1973,1283,869,1123,1034,1414,1064,1529,1758,1680,1478,1211,1091,1151,1354,1399,1734,1835,1544,1458,1727
1283,Pearl's A Singer,Elkie Brooks,6abvu3x6fUlOniPRF8WCII,1977,1284,1455,1365,1436,1378,1375,1400,1563,1325,1406,0,1463,0,0,0,0,0,0,0,0
